Date,Open,High,Low,Close,Adj Close,Volume
2019-09-26,6.220000,6.330000,5.830000,5.950000,5.950000,504700
2019-09-27,5.890000,6.070000,5.500000,5.640000,5.640000,639400
2019-09-30,5.630000,5.670000,5.000000,5.020000,5.020000,1081700
2019-10-01,4.980000,5.150000,4.900000,5.010000,5.010000,384300
2019-10-02,4.950000,5.180000,4.770000,5.110000,5.110000,637000
2019-10-03,5.150000,5.200000,4.950000,5.050000,5.050000,432600
2019-10-04,5.020000,5.050000,4.830000,5.000000,5.000000,367800
2019-10-07,5.010000,5.020000,4.860000,5.010000,5.010000,359500
2019-10-08,4.970000,4.970000,4.700000,4.740000,4.740000,356300
2019-10-09,4.750000,4.830000,4.390000,4.500000,4.500000,537700
2019-10-10,4.460000,4.560000,4.410000,4.480000,4.480000,216900
2019-10-11,4.540000,4.620000,4.470000,4.560000,4.560000,360400
2019-10-14,4.550000,4.880000,4.550000,4.690000,4.690000,371400
2019-10-15,4.870000,4.880000,4.750000,4.830000,4.830000,511600
2019-10-16,4.800000,4.830000,4.710000,4.740000,4.740000,430100
2019-10-17,4.780000,4.790000,4.550000,4.630000,4.630000,424500
2019-10-18,4.580000,4.630000,4.380000,4.490000,4.490000,551300
2019-10-21,4.470000,4.560000,4.360000,4.410000,4.410000,341600
2019-10-22,4.420000,4.520000,4.260000,4.340000,4.340000,395900
2019-10-23,4.390000,4.440000,4.170000,4.300000,4.300000,357000
2019-10-24,4.310000,4.400000,4.220000,4.270000,4.270000,266400
2019-10-25,4.270000,4.500000,4.270000,4.470000,4.470000,381700
2019-10-28,4.500000,4.760000,4.400000,4.640000,4.640000,911300
2019-10-29,4.640000,4.710000,4.400000,4.500000,4.500000,578000
2019-10-30,4.520000,4.570000,4.300000,4.420000,4.420000,417600
2019-10-31,4.360000,4.360000,4.100000,4.170000,4.170000,752300
2019-11-01,4.170000,4.380000,4.150000,4.310000,4.310000,380000
2019-11-04,4.460000,4.710000,4.400000,4.620000,4.620000,1053800
2019-11-05,4.650000,4.710000,4.430000,4.460000,4.460000,896600
2019-11-06,4.450000,4.560000,4.400000,4.420000,4.420000,407300
2019-11-07,4.440000,4.580000,4.320000,4.500000,4.500000,432600
2019-11-08,4.640000,4.850000,4.350000,4.590000,4.590000,858200
2019-11-11,4.630000,4.630000,4.260000,4.350000,4.350000,634900
2019-11-12,4.310000,4.330000,4.100000,4.140000,4.140000,785700
2019-11-13,4.200000,4.200000,4.020000,4.190000,4.190000,703300
2019-11-14,4.190000,4.350000,4.090000,4.220000,4.220000,447200
2019-11-15,4.260000,4.260000,4.030000,4.110000,4.110000,665100
2019-11-18,4.100000,4.110000,3.800000,3.830000,3.830000,1003200
2019-11-19,3.870000,3.950000,3.700000,3.750000,3.750000,700200
2019-11-20,3.780000,3.810000,3.690000,3.690000,3.690000,480700
2019-11-21,3.700000,3.900000,3.540000,3.810000,3.810000,512400
2019-11-22,3.810000,3.840000,3.710000,3.760000,3.760000,342600
2019-11-25,3.820000,3.870000,3.740000,3.780000,3.780000,581700
2019-11-26,3.830000,3.830000,3.700000,3.750000,3.750000,870500
2019-11-27,4.000000,4.150000,3.880000,3.940000,3.940000,1666500
2019-11-29,4.060000,5.000000,4.060000,4.850000,4.850000,3692700
2019-12-02,5.140000,5.640000,4.950000,5.220000,5.220000,4553500
2019-12-03,5.120000,5.120000,4.650000,4.770000,4.770000,2263500
2019-12-04,4.810000,4.890000,4.500000,4.880000,4.880000,1113400
2019-12-05,4.920000,4.940000,4.510000,4.550000,4.550000,1288000
2019-12-06,4.620000,4.630000,4.330000,4.350000,4.350000,1326700
2019-12-09,4.350000,4.470000,4.160000,4.160000,4.160000,1077400
2019-12-10,4.170000,4.250000,4.070000,4.170000,4.170000,1294300
2019-12-11,4.140000,4.290000,4.060000,4.090000,4.090000,838100
2019-12-12,4.130000,4.140000,3.920000,3.990000,3.990000,1096300
2019-12-13,4.050000,4.090000,3.940000,4.030000,4.030000,1365700
2019-12-16,4.020000,4.040000,3.910000,4.000000,4.000000,1089200
2019-12-17,3.950000,4.020000,3.950000,3.990000,3.990000,884100
2019-12-18,4.000000,4.010000,3.910000,3.960000,3.960000,524400
2019-12-19,3.980000,4.040000,3.850000,4.010000,4.010000,950400
2019-12-20,4.080000,4.080000,3.930000,4.010000,4.010000,1390600
2019-12-23,4.040000,4.100000,3.940000,4.000000,4.000000,1070000
2019-12-24,4.000000,4.030000,3.970000,4.000000,4.000000,603100
2019-12-26,3.990000,4.030000,3.870000,4.000000,4.000000,1202100
2019-12-27,4.000000,4.010000,3.950000,3.990000,3.990000,774900
2019-12-30,3.980000,4.020000,3.960000,4.000000,4.000000,734600
2019-12-31,3.980000,4.010000,3.940000,3.980000,3.980000,1324900
